active,collection_id,nickname,collection_name,collection_ssc_url,collection_portal_path,bib_id,max_download_size,format,location_type,publishing_target_id,solr_target,creator_sort,title_sort
no,589,bastides,John Reps Collection - Bastides,http://hdl.handle.net/1813.001/9225346,http://hdl.handle.net/1813.001/9225346a,9225346,media_URL_size_4_tesim,Image,geocoordinates|where|geojson,777,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3462,punkflyers,Punk Flyers,http://www.sscommons.org/openlibrary/welcome.html#3|collections|7731317||Cornell3A20Punk20Flyers|||,/collections/punkflyers,10093411,media_URL_size_3_tesim,Image,located|geocoordinates|where,2166,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4547,dendro,NYS Historical Dendrochronology,,,,,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4803,seneca,"Seneca Haudenosaunee Archaeological Materials, circa 1688-1754",,https://digital.library.cornell.edu/collections/seneca,,media_URL_size_4_tesim,Image,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,photographer_creator_tesim,title_tesim
no,,,,,,,,,,,,,
yes,48,artifacts,"Campus Artifacts, Art & Memorabilia ",http://hdl.handle.net/1813.001/7753376b,https://digital.library.cornell.edu/collections/artifactsandart,7753376,media_URL_size_4_tesim,Image,,157,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,creator_tesim,title_tesim
no,49,karma,KARMA ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,50,japantheatre,Japanese Woodblocks - Theatre,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,78,aerial,NYS Aerial Photographs ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,88,kingsbury,Alison Mason Kingsbury ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,89,willardstraight,Willard Dickerman Straight and Early U.S.-Korea Diplomatic Relations ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,97,cast,Cornell Antiquities - Cast Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,98,claireholt,Claire Holt Indonesian Art Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,108,coins,Cornell Antiquities - Coin Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,111,devinecomedy,Divine Comedy Image Archive ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,112,howell,Howell Icelandic ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,134,vicos,Vicos ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,135,isbell,Billie Jean Isbell ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,139,japanworld,Japanese Woodblocks - Knowledge of the World,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,141,culmaps,Map Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,142,,Labor Photos ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,143,kassoy,Kassoy Cartoons ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,153,,ETC ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,155,kmoddl,KMODDL ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,166,eleusis,Eleusis ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,167,hiphopflyers,Hip Hop Flyers ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,174,rmc,RMC ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,185,,Weil Archives ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,186,,Plant Pathology Herbarium ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,190,conzo,Joe Conzo Negatives & Prints ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,209,,Landslides Photography ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,256,obama,Obama Visual Iconography ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,273,anthrocollections,Anthropology Collections ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,319,loewentheil,Loewentheil Collection of African-American Photographs ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,370,repsslides,John Reps - Slides ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,411,,Racker Paintings,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,452,gems,Cornell Antiquities - Gem Impressions ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,466,,History of Psychiatry ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,479,,PAFDAO - Images ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,522,tamang,Tamang ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,531,tarr,Historical Glacial Images of Alaska & Greenland ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,532,,PAFDAO - Art Objects ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,559,squeezes,Cornell Antiquities - Monumentum Ancyranum Squeeze Molds ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,589,bastides,John Reps - Bastides ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,616,gamelan,Gamelan ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,657,,John Clair Miller ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
